Newspaper,Country,LANGUAGE,Website
Sporting Life,Nigeria,En,https://www.sportinglife.ng
Taraba Truth & Fact,Nigeria,En,https://www.tarabatruthandfact.com.ng
TechCabal,Nigeria,En,https://www.techcabal.com
Techpoint Africa,Nigeria,En,https://www.techpoint.africa
The Advocate (Enugu),Nigeria,En,https://www.theadvocatengr.com
The Authority,Nigeria,En,https://www.authorityngr.com
The Cable,Nigeria,En,https://www.thecable.ng
The Guardian,Nigeria,En,https://www.guardian.ng
The Hope (Ondo),Nigeria,En,https://www.thehopenewspaper.com
The Insight (NGO),Nigeria,En,https://www.theinsight.com.ng
The Nation,Nigeria,En,https://www.thenationonlineng.net
The Pointer (Delta),Nigeria,En,https://www.thepointernewsonline.com
The Punch,Nigeria,En (Punch News),https://www.punchng.com
The Sun,Nigeria,En,https://thesun.ng
The Tide (Rivers),Nigeria,En,https://www.thetidenewsonline.com
Today NG,Nigeria,En,https://www.today.ng
Tori News,Nigeria,En,https://www.tori.ng
VOA Nigeria,Nigeria,En,https://www.voanews.com/africa/nigeria
Vanguard,Nigeria,En (Vanguard News),https://www.vanguardngr.com
Warri Mirror,Nigeria,En,https://www.warrimirror.com
YNaija,Nigeria,En,https://www.ynaija.com
STP Digital,Sao Tome and Principe,Portuguese,https://stpdigital.net/
Sao Tome E Principe Press,Sao Tome and Principe,Portuguese,https://www.stp-press.st/
Tla Nn,Sao Tome and Principe,Portuguese,https://www.telanon.info/
7TV (Senegal),Senegal,French,7tv.sn
DakarTech,Senegal,French,dakartech.sn
RFI  Sngal,Senegal,French,rfi.fr/fr/tag/sngal
Senego Sport,Senegal,French/Wolof,senego.com/sport
Seneweb,Senegal,French/Wolof,seneweb.com
SunuNews,Senegal,French,sununews.com
VOA Afrique  Sngal,Senegal,French,voaafrique.com/z/6421
Seychelles Nation,Seychelles,"English, French, Seychellois Creole",http://www.nation.sc/
Seychelles Weekly,Seychelles,English,http://www.seychellesweekly.com/
Africanist Press,Sierra Leone,EN,https://www.africanistpress.com
Expo Times,Sierra Leone,EN,https://www.expotimesonline.net
Patriotic Vanguard,Sierra Leone,EN,https://www.thepatrioticvanguard.com
Politico SL,Sierra Leone,EN (Politico SL),https://www.politicosl.com
Africa Check,South Africa,En,https://www.africacheck.org
Alberton Record,South Africa,En,https://www.citizen.co.za/alberton-record
Benoni City Times,South Africa,En,https://www.citizen.co.za/benoni-city-times
BizNews,South Africa,En,https://www.biznews.com
Briefly News,South Africa,En,https://www.briefly.co.za
Cape Argus,South Africa,En,https://www.iol.co.za/capeargus
Cape Times,South Africa,En,https://www.iol.co.za/capetimes
Daily News (Durban),South Africa,En,https://www.iol.co.za/dailynews
Daily Voice,South Africa,En/Afr,https://www.dailyvoice.co.za
Diamond Fields Advertiser,South Africa,En,https://www.iol.co.za/dfa
Engineering News,South Africa,En,https://www.engineeringnews.co.za
Eyewitness News (EWN),South Africa,En,https://www.ewn.co.za
Fourways Review,South Africa,En,https://www.citizen.co.za/fourways-review
GroundUp,South Africa,En,https://www.groundup.org.za
ITWeb,South Africa,En,https://www.itweb.co.za
ITWeb Africa,South Africa,En,https://www.itweb.africa
Independent Online (IOL),South Africa,En/Zulu/Afr,https://www.iol.co.za
Independent on Saturday,South Africa,En,https://www.iol.co.za/ios
Isolezwe,South Africa,Zulu,https://www.isolezwe.co.za
Kempton Express,South Africa,En,https://www.citizen.co.za/kempton-express
Mail & Guardian,South Africa,En,https://www.mg.co.za
Midrand Reporter,South Africa,En,https://www.citizen.co.za/midrand-reporter
Moneyweb,South Africa,En,https://www.moneyweb.co.za
Northern Natal Courier,South Africa,En,https://www.northernnatalcourier.co.za
Polity.org.za,South Africa,En,https://www.polity.org.za
Pretoria News,South Africa,En,https://www.iol.co.za/pretoria-news
Randburg Sun,South Africa,En,https://www.randburgsun.co.za
Rekord (Pretoria group),South Africa,En/Afr,https://www.citizen.co.za/rekord
SA People,South Africa,En,https://www.sapeople.com
SABC News (public broadcaster),South Africa,En,https://www.sabcnews.com/sabcnews
Sandton Chronicle,South Africa,En,https://www.citizen.co.za/sandton-chronicle
Scrolla Africa,South Africa,En/Zulu,https://www.scrolla.africa
TechCentral,South Africa,En,https://www.techcentral.co.za
TechFinancials,South Africa,En,https://www.techfinancials.co.za
The Citizen,South Africa,En,https://www.citizen.co.za
The Conversation Africa,South Africa,En,https://www.theconversation.com/africa
The Mercury,South Africa,En,https://www.iol.co.za/the-mercury
The South African,South Africa,En,https://www.thesouthafrican.com
The Star,South Africa,En,https://www.iol.co.za/the-star
The Witness,South Africa,En,https://www.witness.co.za
Vryheid Herald,South Africa,En,https://www.vryheidherald.co.za
Weekend Argus,South Africa,En,https://www.iol.co.za/weekend-argus
eNCA,South Africa,En,https://www.enca.com
Gurtong Trust,South Sudan,English,https://www.gurtong.net/
Habari Leo,Tanzania,Swahili,https://habarileo.co.tz/
Jamhuri,Tanzania,Swahili,https://www.jamhurimedia.co.tz/
Mwananchi,Tanzania,Swahili,https://www.mwananchi.co.tz/
Mwanaspoti,Tanzania,Swahili,https://www.mwanaspoti.co.tz/
Swahili Times,Tanzania,Swahili,https://swahilitimes.com/
African Manager,Tunisia,French,https://africanmanager.com/
Alchourouk,Tunisia,Arabic,https://www.alchourouk.com/
Business News,Tunisia,French,https://www.businessnews.com.tn/
HuffPost Maghreb (Tunisie),Tunisia,French,https://www.huffpostmaghreb.com/news/tunisie/
Kapitalis,Tunisia,French,https://kapitalis.com/tunisie/
La Presse de Tunisie,Tunisia,French,https://lapresse.tn/
Leaders,Tunisia,French,https://www.leaders.com.tn/
Mosaque FM,Tunisia,Arabic,https://www.mosaiquefm.net/
Nawaat,Tunisia,French/Arabic,https://nawaat.org/
Ralits,Tunisia,French,https://www.realites.com.tn/
Tunisie Tribune,Tunisia,French,https://www.tunisie-tribune.com/
Webdo,Tunisia,French,https://www.webdo.tn/
ACME Media Monitor,Uganda,EN,acme-ug.org
AP News  Uganda,Uganda,EN,apnews.com/hub/uganda
Acholi Times,Uganda,EN,acholitimes.com
Ankole Times,Uganda,EN,ankoletimes.co.ug
BBC News  Uganda,Uganda,EN,bbc.com/news/world/africa
BigEye UG,Uganda,EN,bigeye.ug
Business Focus,Uganda,EN,businessfocus.co.ug
CEO East Africa,Uganda,EN,ceo.co.ug
CampusBee,Uganda,EN,campusbee.ug
Capital FM News,Uganda,EN,capitalradio.co.ug
Chimp Reports,Uganda,EN,chimpreports.com
Daily Express,Uganda,EN,dailyexpress.co.ug
Daily Monitor,Uganda,EN,monitor.co.ug
Eagle Online,Uganda,EN,eagle.co.ug
East African Business Week,Uganda,EN,busiweek.com
Ghetto Post,Uganda,EN,ghettopost.com
Howwe Biz,Uganda,EN,howwe.ug
Initiative for Social & Economic Rights News,Uganda,EN,iser-uganda.org/news
KFM News,Uganda,EN,kfm.co.ug
Kawowo Sports,Uganda,EN,kawowo.com
NTV Uganda,Uganda,EN,ntv.co.ug
Nile Chronicles,Uganda,EN,nilechronicles.com
Nile Post,Uganda,EN,nilepost.co.ug
Northern Press,Uganda,EN,northernpress.org
PML Daily,Uganda,EN,pmldaily.com
PesaCheck Uganda,Uganda,EN,pesacheck.org/tag/uganda
Red Pepper,Uganda,EN + Lug,redpepper.co.ug
SoftPower News,Uganda,EN,softpower.ug
Swift Sports UG,Uganda,EN,swiftsportsug.com
TechJaja,Uganda,EN,techjaja.com
The Exchange  UG channel,Uganda,EN,theexchange.africa/tag/uganda
The Guardian (Global) Uganda page,Uganda,EN,theguardian.com/world/uganda
The Independent,Uganda,EN,independent.co.ug
The Insider,Uganda,EN,theinsider.ug
The Observer (Weekly),Uganda,EN (The Observer),observer.ug
Tower Post,Uganda,EN,thetowerpost.com
Trumpet News,Uganda,EN,trumpetnews.co.ug
UBC TV News,Uganda,EN,ubc.go.ug/news
VOA News  Uganda,Uganda,EN,voanews.com/africa/uganda
Watchdog Uganda,Uganda,EN,watchdoguganda.com
Lusaka Times,Zambia,English,https://www.lusakatimes.com/
Zambia Daily Mail,Zambia,English,https://www.daily-mail.co.zm/
263Chat,Zimbabwe,EN,263chat.com
AP Africa  Zimbabwe tag,Zimbabwe,EN,apnews.com/hub/zimbabwe
Bulawayo24,Zimbabwe,EN (Bulawayo24 News),bulawayo24.com
Capitalk FM,Zimbabwe,EN,capitalkfm.co.zw
Daily News,Zimbabwe,EN,dailynews.co.zw
EquityAxis,Zimbabwe,EN,equityaxis.net
Financial Gazette,Zimbabwe,EN,fingaz.co.zw
Kubatana Newsfeed,Zimbabwe,EN,kubatana.net
Masvingo Mirror,Zimbabwe,EN,masvingomirror.com
Nehanda Radio,Zimbabwe,EN,nehandaradio.com
OpenParly ZW,Zimbabwe,EN,openparly.com
SportBrief ZW,Zimbabwe,EN,sportbrief.co.zw
Star FM News,Zimbabwe,EN,starfm.co.zw/news
StartupBiz Zimbabwe,Zimbabwe,EN,startupbiz.co.zw
TellZim,Zimbabwe,EN,tellzim.com
VOA Zimbabwe Service,Zimbabwe,EN,voazimbabwe.com
ZiFM Stereo News,Zimbabwe,EN,zifmstereo.co.zw/news
ZimBuzz,Zimbabwe,EN,zimbuzz.co.zw
ZimEye,Zimbabwe,EN (ZimEye),zimeye.net
ZimLive,Zimbabwe,EN,zimlive.com
ZwNews,Zimbabwe,EN,zwnews.com
Radio Dalsan,Somalia,Somali,https://www.radiodalsan.com
Botswana Guardian,Botswana,,https://www.guardiansun.co.bw/
La Semaine Africaine,Congo,,https://lasemaineafricaine.info/
State House Online,Sierra Leone,,https://statehouse.gov.sl/
The Herald,South Africa,,https://www.theherald.co.za/
Koora Sudan,Sudan,,https://koorasudan.net/
Essahafa,Tunisia,,https://essahafa.tn/
Tunisie Numerique,Tunisia,,https://www.tunisienumerique.com/
Mwebantu,Zambia,,https://www.mwebantu.com/
New Zimbabwe,Zimbabwe,,https://www.newzimbabwe.com/
iHarare,Zimbabwe,EN,iharare.com
